visit_day,visits
2110-10-22,7
2110-10-23,6
2110-10-24,2
2110-10-25,5
2110-10-26,12
2110-10-27,4
2110-10-28,8
2110-10-29,8
2110-10-30,9
2110-10-31,4
2110-11-01,3
2110-11-02,2
2110-11-03,5
2110-11-04,9
2110-11-05,6
2110-11-06,6
2110-11-07,5
2110-11-08,2
2110-11-09,6
2110-11-10,6
2110-11-11,6
2110-11-12,6
2110-11-13,3
2110-11-14,5
2110-11-15,3
2110-11-16,8
2110-11-17,6
2110-11-18,6
2110-11-19,3
2110-11-20,6
2110-11-21,7
2110-11-22,11
2110-11-23,2
2110-11-24,6
2110-11-25,8
2110-11-26,4
2110-11-27,3
2110-11-28,6
2110-11-29,5
2110-11-30,9
2110-12-01,9
2110-12-02,4
2110-12-03,5
2110-12-04,4
2110-12-05,5
2110-12-06,7
2110-12-07,5
2110-12-08,1
2110-12-09,9
2110-12-10,6
2110-12-11,2
2110-12-12,6
2110-12-13,7
2110-12-14,6
2110-12-15,5
2110-12-16,8
2110-12-17,6
2110-12-18,6
2110-12-19,4
2110-12-20,2
2110-12-21,10
2110-12-22,6
2110-12-23,6
2110-12-24,5
2110-12-25,5
2110-12-26,4
2110-12-27,6
2110-12-28,7
2110-12-29,6
2110-12-30,3
2110-12-31,13
2111-01-01,5
2111-01-02,3
2111-01-03,3
2111-01-04,11
2111-01-05,4
2111-01-06,5
2111-01-07,8
2111-01-08,6
2111-01-09,3
2111-01-10,6
2111-01-11,10
2111-01-12,5
2111-01-13,2
2111-01-14,8
2111-01-15,8
2111-01-16,4
2111-01-17,5
2111-01-18,8
2111-01-19,6
2111-01-20,4
2111-01-21,5
2111-01-22,7
2111-01-23,9
2111-01-24,6
2111-01-25,5
2111-01-26,2
2111-01-27,6
2111-01-28,4
2111-01-29,8
2111-01-30,3
2111-01-31,8
2111-02-01,7
2111-02-02,6
2111-02-03,7
2111-02-04,7
2111-02-05,6
2111-02-06,7
2111-02-07,6
2111-02-08,8
2111-02-09,4
2111-02-10,4
2111-02-11,3
2111-02-12,5
2111-02-13,6
2111-02-14,4
2111-02-15,7
2111-02-16,5
2111-02-17,2
2111-02-18,11
2111-02-19,3
2111-02-20,4
2111-02-21,8
2111-02-22,7
2111-02-23,6
2111-02-24,5
2111-02-25,4
2111-02-26,9
2111-02-27,9
2111-02-28,5
2111-03-01,4
2111-03-02,3
2111-03-03,6
2111-03-04,8
2111-03-05,7
2111-03-06,5
2111-03-07,8
2111-03-08,3
2111-03-09,1
2111-03-10,7
2111-03-11,3
2111-03-12,7
2111-03-13,4
2111-03-14,6
2111-03-15,8
2111-03-16,7
2111-03-17,4
2111-03-18,1
2111-03-19,6
2111-03-20,2
2111-03-21,5
2111-03-22,5
2111-03-23,10
2111-03-24,7
2111-03-25,7
2111-03-26,5
2111-03-27,5
2111-03-28,5
2111-03-29,10
2111-03-30,7
2111-03-31,8
2111-04-01,7
2111-04-02,5
2111-04-03,6
2111-04-04,4
2111-04-05,7
2111-04-06,4
2111-04-07,3
2111-04-08,8
2111-04-09,5
2111-04-10,7
2111-04-11,3
2111-04-12,3
2111-04-13,3
2111-04-14,10
2111-04-15,2
2111-04-16,5
2111-04-17,9
2111-04-18,8
2111-04-19,6
2111-04-20,10
2111-04-21,4
2111-04-22,7
2111-04-23,5
2111-04-24,5
2111-04-25,5
2111-04-26,5
2111-04-27,8
2111-04-28,11
2111-04-29,6
2111-04-30,4
2111-05-01,4
2111-05-02,6
2111-05-03,6
2111-05-04,6
2111-05-05,9
2111-05-06,3
2111-05-07,3
2111-05-08,8
2111-05-09,10
2111-05-10,2
2111-05-11,7
2111-05-12,7
2111-05-13,6
2111-05-14,6
2111-05-15,6
2111-05-16,4
2111-05-17,3
2111-05-18,1
2111-05-19,7
2111-05-20,1
2111-05-21,11
2111-05-22,3
2111-05-23,12
2111-05-24,7
2111-05-25,5
2111-05-26,5
2111-05-27,4
2111-05-28,3
2111-05-29,3
2111-05-30,5
2111-05-31,2
2111-06-01,8
2111-06-02,6
2111-06-03,6
2111-06-04,7
2111-06-05,9
2111-06-06,6
2111-06-07,5
2111-06-08,8
2111-06-09,13
2111-06-10,5
2111-06-11,4
2111-06-12,9
2111-06-13,2
2111-06-14,6
2111-06-15,4
2111-06-16,8
2111-06-17,9
2111-06-18,6
2111-06-19,7
2111-06-20,8
2111-06-21,11
2111-06-22,6
2111-06-23,5
2111-06-24,2
2111-06-25,6
2111-06-26,2
2111-06-27,9
2111-06-28,8
2111-06-29,10
2111-06-30,4
2111-07-01,2
2111-07-02,6
2111-07-03,6
2111-07-04,6
2111-07-05,6
2111-07-06,5
2111-07-07,8
2111-07-08,7
2111-07-09,7
2111-07-10,7
2111-07-11,12
2111-07-12,5
2111-07-13,8
2111-07-14,6
2111-07-15,4
2111-07-16,7
2111-07-17,5
2111-07-18,7
2111-07-19,3
2111-07-20,7
2111-07-21,5
2111-07-22,5
2111-07-23,3
2111-07-24,2
2111-07-25,16
2111-07-26,4
2111-07-27,4
2111-07-28,4
2111-07-29,7
2111-07-30,9
2111-07-31,5
2111-08-01,16
2111-08-02,10
2111-08-03,9
2111-08-04,5
2111-08-05,3
2111-08-06,6
2111-08-07,10
2111-08-08,7
2111-08-09,8
2111-08-10,7
2111-08-11,8
2111-08-12,7
2111-08-13,7
2111-08-14,2
2111-08-15,5
2111-08-16,5
2111-08-17,6
2111-08-18,8
2111-08-19,13
2111-08-20,8
2111-08-21,6
2111-08-22,4
2111-08-23,7
2111-08-24,7
2111-08-25,8
2111-08-26,4
2111-08-27,4
2111-08-28,7
2111-08-29,5
2111-08-30,10
2111-08-31,4
2111-09-01,5
2111-09-02,9
2111-09-03,8
2111-09-04,6
2111-09-05,3
2111-09-06,7
2111-09-07,6
2111-09-08,6
2111-09-09,7
2111-09-10,6
2111-09-11,4
2111-09-12,6
2111-09-13,13
2111-09-14,7
2111-09-15,5
2111-09-16,10
2111-09-17,9
2111-09-18,8
2111-09-19,6
2111-09-20,6
2111-09-21,11
2111-09-22,7
2111-09-23,5
2111-09-24,6
2111-09-25,7
2111-09-26,9
2111-09-27,6
2111-09-28,14
2111-09-29,2
2111-09-30,4
2111-10-01,6
2111-10-02,6
2111-10-03,5
2111-10-04,7
2111-10-05,7
2111-10-06,5
2111-10-07,5
2111-10-08,8
2111-10-09,10
2111-10-10,6
2111-10-11,2
2111-10-12,4
2111-10-13,7
2111-10-14,9
2111-10-15,6
2111-10-16,5
2111-10-17,8
2111-10-18,6
2111-10-19,4
2111-10-20,7
2111-10-21,12
2111-10-22,5
2111-10-23,6
2111-10-24,4
2111-10-25,6
2111-10-26,8
2111-10-27,8
2111-10-28,9
2111-10-29,7
2111-10-30,8
2111-10-31,6
2111-11-01,3
2111-11-02,13
2111-11-03,12
2111-11-04,7
2111-11-05,6
2111-11-06,7
2111-11-07,7
2111-11-08,4
2111-11-09,9
2111-11-10,8
2111-11-11,8
2111-11-12,7
2111-11-13,4
2111-11-14,8
2111-11-15,8
2111-11-16,8
2111-11-17,12
2111-11-18,6
2111-11-19,4
2111-11-20,8
2111-11-21,7
2111-11-22,7
2111-11-23,5
2111-11-24,8
2111-11-25,4
2111-11-26,6
2111-11-27,3
2111-11-28,5
2111-11-29,7
2111-11-30,8
2111-12-01,11
2111-12-02,11
2111-12-03,7
2111-12-04,11
2111-12-05,9
2111-12-06,8
2111-12-07,10
2111-12-08,3
2111-12-09,7
2111-12-10,4
2111-12-11,6
2111-12-12,4
2111-12-13,9
2111-12-14,7
2111-12-15,2
2111-12-16,3
2111-12-17,7
2111-12-18,6
2111-12-19,8
2111-12-20,3
2111-12-21,3
2111-12-22,8
2111-12-23,4
2111-12-24,4
2111-12-25,7
2111-12-26,6
2111-12-27,5
2111-12-28,3
2111-12-29,11
2111-12-30,8
2111-12-31,9
2112-01-01,5
2112-01-02,12
2112-01-03,5
2112-01-04,8
2112-01-05,6
2112-01-06,5
2112-01-07,4
2112-01-08,11
2112-01-09,3
2112-01-10,6
2112-01-11,11
2112-01-12,4
2112-01-13,5
2112-01-14,5
2112-01-15,9
2112-01-16,6
2112-01-17,6
2112-01-18,1
2112-01-19,4
2112-01-20,8
2112-01-21,6
2112-01-22,9
2112-01-23,7
2112-01-24,7
2112-01-25,11
2112-01-26,7
2112-01-27,5
2112-01-28,6
2112-01-29,10
2112-01-30,3
2112-01-31,7
2112-02-01,3
2112-02-02,6
2112-02-03,12
2112-02-04,6
2112-02-05,5
2112-02-06,7
2112-02-07,9
2112-02-08,6
2112-02-09,6
2112-02-10,2
2112-02-11,4
2112-02-12,3
2112-02-13,7
2112-02-14,10
2112-02-15,9
2112-02-16,5
2112-02-17,11
2112-02-18,5
2112-02-19,6
2112-02-20,5
2112-02-21,7
2112-02-22,6
2112-02-23,12
2112-02-24,7
2112-02-25,4
2112-02-26,7
2112-02-27,5
2112-02-28,6
2112-02-29,2
2112-03-01,8
2112-03-02,7
2112-03-03,9
2112-03-04,8
2112-03-05,8
2112-03-06,4
2112-03-07,9
2112-03-08,6
2112-03-09,10
2112-03-10,9
2112-03-11,8
2112-03-12,5
2112-03-13,7
2112-03-14,6
2112-03-15,5
2112-03-16,8
2112-03-17,5
2112-03-18,1
2112-03-19,3
2112-03-20,3
2112-03-21,8
2112-03-22,6
2112-03-23,12
2112-03-24,2
2112-03-25,7
2112-03-26,4
2112-03-27,4
2112-03-28,12
2112-03-29,6
2112-03-30,8
2112-03-31,9
2112-04-01,2
2112-04-02,4
2112-04-03,9
2112-04-04,6
2112-04-05,8
2112-04-06,5
2112-04-07,5
2112-04-08,8
2112-04-09,11
2112-04-10,9
2112-04-11,7
2112-04-12,5
2112-04-13,13
2112-04-14,10
2112-04-15,7
2112-04-16,4
2112-04-17,5
2112-04-18,6
2112-04-19,7
2112-04-20,5
2112-04-21,5
2112-04-22,5
2112-04-23,4
2112-04-24,7
2112-04-25,5
2112-04-26,10
2112-04-27,4
2112-04-28,11
2112-04-29,5
2112-04-30,3
2112-05-01,4
2112-05-02,6
2112-05-03,6
2112-05-04,1
2112-05-05,6
2112-05-06,7
2112-05-07,4
2112-05-08,6
2112-05-09,6
2112-05-10,8
2112-05-11,8
2112-05-12,5
2112-05-13,5
2112-05-14,11
2112-05-15,5
2112-05-16,5
2112-05-17,9
2112-05-18,8
2112-05-19,12
2112-05-20,8
2112-05-21,4
2112-05-22,9
2112-05-23,6
2112-05-24,9
2112-05-25,6
2112-05-26,12
2112-05-27,3
2112-05-28,6
2112-05-29,7
2112-05-30,7
2112-05-31,3
2112-06-01,3
2112-06-02,8
2112-06-03,13
2112-06-04,9
2112-06-05,9
2112-06-06,8
2112-06-07,10
2112-06-08,8
2112-06-09,10
2112-06-10,10
2112-06-11,8
2112-06-12,11
2112-06-13,5
2112-06-14,9
2112-06-15,7
2112-06-16,6
2112-06-17,8
2112-06-18,8
2112-06-19,11
2112-06-20,10
2112-06-21,12
2112-06-22,5
2112-06-23,9
2112-06-24,12
2112-06-25,6
2112-06-26,4
2112-06-27,4
2112-06-28,7
2112-06-29,6
2112-06-30,8
2112-07-01,5
2112-07-02,4
2112-07-03,10
2112-07-04,7
2112-07-05,9
2112-07-06,10
2112-07-07,10
2112-07-08,9
2112-07-09,7
2112-07-10,4
2112-07-11,2
2112-07-12,10
2112-07-13,8
2112-07-14,8
2112-07-15,5
2112-07-16,8
2112-07-17,7
2112-07-18,12
2112-07-19,8
2112-07-20,5
2112-07-21,1
2112-07-22,7
2112-07-23,5
2112-07-24,8
2112-07-25,6
2112-07-26,11
2112-07-27,8
2112-07-28,8
2112-07-29,6
2112-07-30,3
2112-07-31,6
2112-08-01,7
2112-08-02,5
2112-08-03,10
2112-08-04,5
2112-08-05,11
2112-08-06,6
2112-08-07,9
2112-08-08,5
2112-08-09,7
2112-08-10,6
2112-08-11,6
2112-08-12,4
2112-08-13,4
2112-08-14,9
2112-08-15,12
2112-08-16,6
2112-08-17,12
2112-08-18,13
2112-08-19,5
2112-08-20,10
2112-08-21,7
2112-08-22,5
2112-08-23,4
2112-08-24,6
2112-08-25,11
2112-08-26,7
2112-08-27,2
2112-08-28,6
2112-08-29,2
2112-08-30,11
2112-08-31,6
2112-09-01,7
2112-09-02,9
2112-09-03,7
2112-09-04,3
2112-09-05,4
2112-09-06,6
2112-09-07,6
2112-09-08,8
2112-09-09,10
2112-09-10,8
2112-09-11,4
2112-09-12,10
2112-09-13,9
2112-09-14,9
2112-09-15,4
2112-09-16,6
2112-09-17,4
2112-09-18,8
2112-09-19,5
2112-09-20,7
2112-09-21,6
2112-09-22,6
2112-09-23,7
2112-09-24,9
2112-09-25,7
2112-09-26,12
2112-09-27,5
2112-09-28,8
2112-09-29,5
2112-09-30,13
2112-10-01,4
2112-10-02,8
2112-10-03,8
2112-10-04,10
2112-10-05,8
2112-10-06,6
2112-10-07,7
2112-10-08,4
2112-10-09,6
2112-10-10,7
2112-10-11,8
2112-10-12,6
2112-10-13,8
2112-10-14,6
2112-10-15,5
2112-10-16,5
2112-10-17,15
2112-10-18,12
2112-10-19,10
2112-10-20,1
2112-10-21,6
2112-10-22,9
2112-10-23,5
2112-10-24,9
2112-10-25,7
2112-10-26,5
2112-10-27,8
2112-10-28,6
2112-10-29,5
2112-10-30,7
2112-10-31,7
2112-11-01,4
2112-11-02,10
2112-11-03,9
2112-11-04,8
2112-11-05,9
2112-11-06,8
2112-11-07,11
2112-11-08,14
2112-11-09,4
2112-11-10,10
2112-11-11,13
2112-11-12,8
2112-11-13,9
2112-11-14,6
2112-11-15,5
2112-11-16,7
2112-11-17,3
2112-11-18,8
2112-11-19,8
2112-11-20,4
2112-11-21,7
2112-11-22,7
2112-11-23,9
2112-11-24,10
2112-11-25,5
2112-11-26,7
2112-11-27,7
2112-11-28,8
2112-11-29,10
2112-11-30,9
2112-12-01,9
2112-12-02,8
2112-12-03,5
2112-12-04,7
2112-12-05,6
2112-12-06,5
2112-12-07,13
2112-12-08,7
2112-12-09,8
2112-12-10,3
2112-12-11,13
2112-12-12,13
2112-12-13,8
2112-12-14,14
2112-12-15,9
2112-12-16,4
2112-12-17,10
2112-12-18,7
2112-12-19,11
2112-12-20,11
2112-12-21,3
2112-12-22,7
2112-12-23,7
2112-12-24,11
2112-12-25,4
2112-12-26,7
2112-12-27,6
2112-12-28,7
2112-12-29,10
2112-12-30,5
2112-12-31,7
2113-01-01,8
2113-01-02,10
2113-01-03,8
2113-01-04,11
2113-01-05,4
2113-01-06,5
2113-01-07,7
2113-01-08,10
2113-01-09,7
2113-01-10,6
2113-01-11,5
2113-01-12,7
2113-01-13,5
2113-01-14,9
2113-01-15,6
2113-01-16,9
2113-01-17,8
2113-01-18,13
2113-01-19,5
2113-01-20,10
2113-01-21,8
2113-01-22,8
2113-01-23,2
2113-01-24,11
2113-01-25,7
2113-01-26,6
2113-01-27,11
2113-01-28,5
2113-01-29,12
2113-01-30,6
2113-01-31,6
2113-02-01,11
2113-02-02,7
2113-02-03,6
2113-02-04,10
2113-02-05,6
2113-02-06,5
2113-02-07,7
2113-02-08,8
2113-02-09,8
2113-02-10,8
2113-02-11,9
2113-02-12,6
2113-02-13,9
2113-02-14,8
2113-02-15,2
2113-02-16,3
2113-02-17,5
2113-02-18,5
2113-02-19,6
2113-02-20,4
2113-02-21,7
2113-02-22,8
2113-02-23,5
2113-02-24,3
2113-02-25,10
2113-02-26,7
2113-02-27,7
2113-02-28,6
2113-03-01,14
2113-03-02,6
2113-03-03,4
2113-03-04,13
2113-03-05,13
2113-03-06,7
2113-03-07,9
2113-03-08,7
2113-03-09,8
2113-03-10,11
2113-03-11,9
2113-03-12,7
2113-03-13,6
2113-03-14,6
2113-03-15,9
2113-03-16,8
2113-03-17,12
2113-03-18,6
2113-03-19,9
2113-03-20,5
2113-03-21,6
2113-03-22,11
2113-03-23,5
2113-03-24,9
2113-03-25,11
2113-03-26,9
2113-03-27,12
2113-03-28,7
2113-03-29,6
2113-03-30,9
2113-03-31,8
2113-04-01,9
2113-04-02,7
2113-04-03,6
2113-04-04,11
2113-04-05,6
2113-04-06,6
2113-04-07,7
2113-04-08,12
2113-04-09,7
2113-04-10,10
2113-04-11,7
2113-04-12,5
2113-04-13,5
2113-04-14,9
2113-04-15,2
2113-04-16,12
2113-04-17,10
2113-04-18,10
2113-04-19,7
2113-04-20,6
2113-04-21,10
2113-04-22,5
2113-04-23,10
2113-04-24,12
2113-04-25,8
2113-04-26,3
2113-04-27,9
2113-04-28,4
2113-04-29,8
2113-04-30,6
2113-05-01,9
2113-05-02,7
2113-05-03,4
2113-05-04,8
2113-05-05,5
2113-05-06,6
2113-05-07,6
2113-05-08,7
2113-05-09,3
2113-05-10,9
2113-05-11,9
2113-05-12,2
2113-05-13,3
2113-05-14,9
2113-05-15,5
2113-05-16,6
2113-05-17,9
2113-05-18,7
2113-05-19,10
2113-05-20,8
2113-05-21,9
2113-05-22,7
2113-05-23,12
2113-05-24,12
2113-05-25,9
2113-05-26,8
2113-05-27,5
2113-05-28,8
2113-05-29,7
2113-05-30,11
2113-05-31,10
2113-06-01,10
2113-06-02,8
2113-06-03,16
2113-06-04,13
2113-06-05,10
2113-06-06,10
2113-06-07,9
2113-06-08,8
2113-06-09,7
2113-06-10,11
2113-06-11,5
2113-06-12,5
2113-06-13,4
2113-06-14,12
2113-06-15,11
2113-06-16,3
2113-06-17,7
2113-06-18,5
2113-06-19,9
2113-06-20,8
2113-06-21,8
2113-06-22,8
2113-06-23,8
2113-06-24,9
2113-06-25,2
2113-06-26,7
2113-06-27,13
2113-06-28,10
2113-06-29,5
2113-06-30,5
2113-07-01,2
2113-07-02,7
2113-07-03,4
2113-07-04,7
2113-07-05,11
2113-07-06,12
2113-07-07,6
2113-07-08,4
2113-07-09,13
2113-07-10,6
2113-07-11,10
2113-07-12,10
2113-07-13,4
2113-07-14,9
2113-07-15,9
2113-07-16,5
2113-07-17,12
2113-07-18,16
2113-07-19,9
2113-07-20,8
2113-07-21,7
2113-07-22,7
2113-07-23,7
2113-07-24,6
2113-07-25,6
2113-07-26,11
2113-07-27,4
2113-07-28,9
2113-07-29,9
2113-07-30,6
2113-07-31,9
2113-08-01,5
2113-08-02,9
2113-08-03,8
2113-08-04,12
2113-08-05,4
2113-08-06,7
2113-08-07,6
2113-08-08,11
2113-08-09,6
2113-08-10,6
2113-08-11,9
2113-08-12,5
2113-08-13,6
2113-08-14,4
2113-08-15,5
2113-08-16,4
2113-08-17,12
2113-08-18,7
2113-08-19,7
2113-08-20,13
2113-08-21,7
2113-08-22,6
2113-08-23,7
2113-08-24,7
2113-08-25,10
2113-08-26,8
2113-08-27,6
2113-08-28,8
2113-08-29,4
2113-08-30,5
2113-08-31,9
2113-09-01,6
2113-09-02,10
2113-09-03,8
2113-09-04,6
2113-09-05,7
2113-09-06,6
2113-09-07,4
2113-09-08,10
2113-09-09,8
2113-09-10,5
2113-09-11,10
2113-09-12,4
2113-09-13,10
2113-09-14,13
2113-09-15,9
2113-09-16,10
2113-09-17,7
2113-09-18,6
2113-09-19,7
2113-09-20,9
2113-09-21,10
2113-09-22,13
2113-09-23,6
2113-09-24,7
2113-09-25,9
2113-09-26,5
2113-09-27,7
2113-09-28,6
2113-09-29,10
2113-09-30,6
2113-10-01,9
2113-10-02,12
2113-10-03,12
2113-10-04,11
2113-10-05,7
2113-10-06,6
2113-10-07,9
2113-10-08,5
2113-10-09,11
2113-10-10,10
2113-10-11,9
2113-10-12,2
2113-10-13,6
2113-10-14,8
2113-10-15,11
2113-10-16,9
2113-10-17,8
2113-10-18,10
2113-10-19,4
2113-10-20,6
2113-10-21,4
2113-10-22,11
2113-10-23,5
2113-10-24,3
2113-10-25,11
2113-10-26,9
2113-10-27,12
2113-10-28,5
2113-10-29,6
2113-10-30,5
2113-10-31,10
2113-11-01,6
2113-11-02,7
2113-11-03,4
2113-11-04,9
2113-11-05,5
2113-11-06,11
2113-11-07,13
2113-11-08,6
2113-11-09,7
2113-11-10,9
2113-11-11,15
2113-11-12,8
2113-11-13,7
2113-11-14,10
2113-11-15,9
2113-11-16,9
2113-11-17,5
2113-11-18,5
2113-11-19,7
2113-11-20,5
2113-11-21,4
2113-11-22,13
2113-11-23,7
2113-11-24,5
2113-11-25,8
2113-11-26,5
2113-11-27,9
2113-11-28,7
2113-11-29,10
2113-11-30,4
2113-12-01,5
2113-12-02,5
2113-12-03,5
2113-12-04,4
2113-12-05,12
2113-12-06,9
2113-12-07,8
2113-12-08,8
2113-12-09,8
2113-12-10,6
2113-12-11,8
2113-12-12,10
2113-12-13,12
2113-12-14,4
2113-12-15,5
2113-12-16,5
2113-12-17,6
2113-12-18,8
2113-12-19,9
2113-12-20,8
2113-12-21,6
2113-12-22,10
2113-12-23,4
2113-12-24,10
2113-12-25,11
2113-12-26,10
2113-12-27,11
2113-12-28,9
2113-12-29,11
2113-12-30,10
2113-12-31,11
2114-01-01,11
2114-01-02,11
2114-01-03,5
2114-01-04,4
2114-01-05,12
2114-01-06,12
2114-01-07,9
2114-01-08,10
2114-01-09,4
2114-01-10,4
2114-01-11,9
2114-01-12,4
2114-01-13,11
2114-01-14,6
2114-01-15,5
2114-01-16,12
2114-01-17,6
2114-01-18,7
2114-01-19,4
2114-01-20,10
2114-01-21,9
2114-01-22,13
2114-01-23,8
2114-01-24,7
2114-01-25,7
2114-01-26,10
2114-01-27,11
2114-01-28,7
2114-01-29,8
2114-01-30,10
2114-01-31,10
2114-02-01,8
2114-02-02,9
2114-02-03,5
2114-02-04,6
2114-02-05,7
2114-02-06,6
2114-02-07,5
2114-02-08,8
2114-02-09,3
2114-02-10,10
2114-02-11,8
2114-02-12,5
2114-02-13,7
2114-02-14,7
2114-02-15,4
2114-02-16,9
2114-02-17,4
2114-02-18,9
2114-02-19,8
2114-02-20,10
2114-02-21,6
2114-02-22,4
2114-02-23,9
2114-02-24,4
2114-02-25,8
2114-02-26,7
2114-02-27,9
2114-02-28,7
2114-03-01,5
2114-03-02,11
2114-03-03,8
2114-03-04,10
2114-03-05,11
2114-03-06,8
2114-03-07,11
2114-03-08,9
2114-03-09,5
2114-03-10,7
2114-03-11,10
2114-03-12,6
2114-03-13,6
2114-03-14,11
2114-03-15,8
2114-03-16,11
2114-03-17,4
2114-03-18,4
2114-03-19,9
2114-03-20,6
2114-03-21,7
2114-03-22,6
2114-03-23,7
2114-03-24,9
2114-03-25,9
2114-03-26,9
2114-03-27,13
2114-03-28,5
2114-03-29,3
2114-03-30,8
2114-03-31,8
2114-04-01,11
2114-04-02,5
2114-04-03,10
2114-04-04,9
2114-04-05,12
2114-04-06,12
2114-04-07,7
2114-04-08,8
2114-04-09,13
2114-04-10,4
2114-04-11,7
2114-04-12,6
2114-04-13,11
2114-04-14,8
