icd_code,long_title,frequency
R110,Nausea,1370
E109,Type 1 diabetes mellitus without complications,1355
Z7982,Long term (current) use of aspirin,1288
J069,"Acute upper respiratory infection, unspecified",1285
L03116,Cellulitis of left lower limb,1263
B20,Human immunodeficiency virus [HIV] disease,1258
71941,"Pain in joint, shoulder region",1255
E039,"Hypothyroidism, unspecified",1252
4589,"Hypotension, unspecified",1242
Z7984,Long term (current) use of oral hypoglycemic drugs,1242
5589,Other and unspecified noninfectious gastroenteritis and colitis,1238
30300,"Acute alcoholic intoxication in alcoholism, unspecified",1234
4659,Acute upper respiratory infections of unspecified site,1232
J441,Chronic obstructive pulmonary disease with (acute) exacerbation,1220
R21,Rash and other nonspecific skin eruption,1219
R5383,Other fatigue,1212
49121,Obstructive chronic bronchitis with (acute) exacerbation,1207
2724,Other and unspecified hyperlipidemia,1158
78907,"Abdominal pain, generalized",1154
7821,Rash and other nonspecific skin eruption,1144
R319,"Hematuria, unspecified",1140
2761,Hyposmolality and/or hyponatremia,1140
L03115,Cellulitis of right lower limb,1138
W19XXXA,"Unspecified fall, initial encounter",1129
5609,Unspecified intestinal obstruction,1123
M25561,Pain in right knee,1112
8470,Sprain of neck,1112
M25562,Pain in left knee,1109
F10229,"Alcohol dependence with intoxication, unspecified",1101
B349,"Viral infection, unspecified",1097
N186,End stage renal disease,1089
71945,"Pain in joint, pelvic region and thigh",1075
R1110,"Vomiting, unspecified",1069
78702,Nausea alone,1065
87342,"Open wound of forehead, without mention of complication",1051
43491,"Cerebral artery occlusion, unspecified with cerebral infarction",1039
9597,"Knee, leg, ankle, and foot injury",1031
5770,Acute pancreatitis,1028
R451,Restlessness and agitation,1011
84500,"Sprain of ankle, unspecified site",989
R262,"Difficulty in walking, not elsewhere classified",987
40391,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",983
E8799,"Unspecified procedure as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",980
07070,Unspecified viral hepatitis C without hepatic coma,979
K5900,"Constipation, unspecified",979
E876,Hypokalemia,967
2767,Hyperpotassemia,962
I214,Non-ST elevation (NSTEMI) myocardial infarction,960
W108XXA,"Fall (on) (from) other stairs and steps, initial encounter",955
496,"Chronic airway obstruction, not elsewhere classified",941
5920,Calculus of kidney,936
34580,"Other forms of epilepsy and recurrent seizures, without mention of intractable epilepsy",935
56400,"Constipation, unspecified",932
M549,"Dorsalgia, unspecified",930
79902,Hypoxemia,924
78820,"Retention of urine, unspecified",922
920,"Contusion of face, scalp, and neck except eye(s)",912
I959,"Hypotension, unspecified",911
M79662,Pain in left lower leg,905
59080,"Pyelonephritis, unspecified",902
W1839XA,"Other fall on same level, initial encounter",901
K625,Hemorrhage of anus and rectum,895
S0181XA,"Laceration without foreign body of other part of head, initial encounter",892
2989,Unspecified psychosis,890
8472,Sprain of lumbar,885
59970,"Hematuria, unspecified",879
J111,Influenza due to unidentified influenza virus with other respiratory manifestations,871
34590,"Epilepsy, unspecified, without mention of intractable epilepsy",867
0389,Unspecified septicemia,866
R0902,Hypoxemia,866
R339,"Retention of urine, unspecified",866
Z590,Homelessness,864
S0990XA,"Unspecified injury of head, initial encounter",854
E1165,Type 2 diabetes mellitus with hyperglycemia,853
M25511,Pain in right shoulder,842
6823,Cellulitis and abscess of upper arm and forearm,838
42789,Other specified cardiac dysrhythmias,837
V600,Driver of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident,836
V600,Lack of housing,836
8730,"Open wound of scalp, without mention of complication",829
7850,"Tachycardia, unspecified",824
R1012,Left upper quadrant pain,823
34690,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus",817
E8788,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",817
M25512,Pain in left shoulder,817
2768,Hypopotassemia,810
E8121,Other motor vehicle traffic accident involving collision with motor vehicle injuring passenger in motor vehicle other than motorcycle,805
9100,"Abrasion or friction burn of face, neck, and scalp except eye, without mention of infection",804
30390,"Other and unspecified alcohol dependence, unspecified",801
M79661,Pain in right lower leg,799
E875,Hyperkalemia,796
E9278,Other overexertion and strenuous and repetitive movements or loads,795
S0101XA,"Laceration without foreign body of scalp, initial encounter",785
K529,"Noninfective gastroenteritis and colitis, unspecified",776
M25551,Pain in right hip,766
S161XXA,"Strain of muscle, fascia and tendon at neck level, initial encounter",760
R102,Pelvic and perineal pain,756
I2699,Other pulmonary embolism without acute cor pulmonale,755
72989,Other musculoskeletal symptoms referable to limbs,747
29420,"Dementia, unspecified, without behavioral disturbance",741
W260XXA,"Contact with knife, initial encounter",741
7291,"Myalgia and myositis, unspecified",740
V420,Kidney replaced by transplant,739
V420,Car driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident,739
E9688,Assault by other specified means,731
41091,"Acute myocardial infarction of unspecified site, initial episode of care",725
N189,"Chronic kidney disease, unspecified",718
78009,Other alteration of consciousness,717
F29,Unspecified psychosis not due to a substance or known physiological condition,715
M25552,Pain in left hip,709
25080,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled",703
78039,Other convulsions,702
33829,Other chronic pain,701
J449,"Chronic obstructive pulmonary disease, unspecified",693
7847,Epistaxis,693
M5489,Other dorsalgia,687
V037,Need for prophylactic vaccination and inoculation against tetanus toxoid alone,686
V103,Personal history of malignant neoplasm of breast,682
V103,Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal,682
340,Multiple sclerosis,678
R040,Epistaxis,678
99859,Other postoperative infection,677
3320,Paralysis agitans,676
7842,"Swelling, mass, or lump in head and neck",675
S0090XA,"Unspecified superficial injury of unspecified part of head, initial encounter",672
5119,Unspecified pleural effusion,666
S39012A,"Strain of muscle, fascia and tendon of lower back, initial encounter",664
R569,Unspecified convulsions,662
99591,Sepsis,661
E9170,Striking against or struck accidentally by objects or persons in sports,659
R410,"Disorientation, unspecified",655
4871,Influenza with other respiratory manifestations,654
56211,Diverticulitis of colon (without mention of hemorrhage),652
R001,"Bradycardia, unspecified",651
5715,Cirrhosis of liver without mention of alcohol,644
K219,Gastro-esophageal reflux disease without esophagitis,644
R300,Dysuria,637
E8261,Pedal cycle accident injuring pedal cyclist,635
5693,Hemorrhage of rectum and anus,632
41519,Other pulmonary embolism and infarction,630
57420,"Calculus of gallbladder without mention of cholecystitis, without mention of obstruction",625
7823,Edema,621
R1111,Vomiting without nausea,619
4111,Intermediate coronary syndrome,617
25081,"Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled",615
W109XXA,"Fall (on) (from) unspecified stairs and steps, initial encounter",615
J90,"Pleural effusion, not elsewhere classified",613
G43909,"Migraine, unspecified, not intractable, without status migrainosus",607
F1910,"Other psychoactive substance abuse, uncomplicated",606
K5732,Diverticulitis of large intestine without perforation or abscess without bleeding,606
N200,Calculus of kidney,604
N10,Acute pyelonephritis,602
5409,Acute appendicitis without mention of peritonitis,599
S065X0A,"Traumatic subdural hemorrhage without loss of consciousness, initial encounter",595
3688,Other specified visual disturbances,594
K3580,Unspecified acute appendicitis,593
K5660,Unspecified intestinal obstruction,591
O26892,"Other specified pregnancy related conditions, second trimester",589
R871,Abnormal level of hormones in specimens from female genital organs,588
O26891,"Other specified pregnancy related conditions, first trimester",586
X500XXA,"Overexertion from strenuous movement or load, initial encounter",582
5559,Regional enteritis of unspecified site,580
K8590,"Acute pancreatitis without necrosis or infection, unspecified",580
V4362XA,"Car passenger injured in collision with other type car in traffic accident, initial encounter",570
29181,Alcohol withdrawal,569
E8147,Motor vehicle traffic accident involving collision with pedestrian injuring pedestrian,561
6822,Cellulitis and abscess of trunk,561
Z8673,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",560
8820,"Open wound of hand except finger(s) alone, without mention of complication",559
G8929,Other chronic pain,559
79092,Abnormal coagulation profile,558
F0390,"Unspecified dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",558
Z3A01,Less than 8 weeks gestation of pregnancy,548
Z049,Encounter for examination and observation for unspecified reason,531
E8881,Metabolic syndrome,514
E8881,Fall resulting in striking against other object,514
E9203,"Accidents caused by knives, swords, and daggers",514
V4511,Renal dialysis status,512
N12,"Tubulo-interstitial nephritis, not specified as acute or chronic",512
6238,Other specified noninflammatory disorders of vagina,510
Z992,Dependence on renal dialysis,510
E871,Hypo-osmolality and hyponatremia,509
M791,Myalgia,507
Z86718,Personal history of other venous thrombosis and embolism,502
5259,Unspecified disorder of the teeth and supporting structures,501
9160,"Abrasion or friction burn of hip, thigh, leg, and ankle, without mention of infection",500
V5869,Long-term (current) use of other medications,500
R600,Localized edema,496
T814XXA,"Infection following a procedure, initial encounter",496
30590,"Other, mixed, or unspecified drug abuse, unspecified",492
5939,Unspecified disorder of kidney and ureter,492
G20,Parkinson's disease,491
8910,"Open wound of knee, leg [except thigh], and ankle, without mention of complication",483
431,Intracerebral hemorrhage,482
Y0889XA,"Assault by other specified means, initial encounter",481
6827,"Cellulitis and abscess of foot, except toes",480
V7189,Observation and evaluation for other specified suspected conditions,480
E9689,Assault by unspecified means,479
1629,"Malignant neoplasm of bronchus and lung, unspecified",475
81342,Other closed fractures of distal end of radius (alone),472
S0083XA,"Contusion of other part of head, initial encounter",472
78902,"Abdominal pain, left upper quadrant",468
R202,Paresthesia of skin,467
1983,Secondary malignant neoplasm of brain and spinal cord,467
M546,Pain in thoracic spine,466
W000XXA,"Fall on same level due to ice and snow, initial encounter",464
5712,Alcoholic cirrhosis of liver,460
E1065,Type 1 diabetes mellitus with hyperglycemia,459
G35,Multiple sclerosis,451
71943,"Pain in joint, forearm",451
V4586,Bariatric surgery status,448
J188,"Other pneumonia, unspecified organism",448
H538,Other visual disturbances,446
F319,"Bipolar disorder, unspecified",443
5921,Calculus of ureter,441
W1789XA,"Other fall from one level to another, initial encounter",440
I120,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,438
87343,"Open wound of lip, without mention of complication",437
S0081XA,"Abrasion of other part of head, initial encounter",436
E8849,Other accidental fall from one level to another,434
S93401A,"Sprain of unspecified ligament of right ankle, initial encounter",434
E8849,Other mitochondrial metabolism disorders,434
L03113,Cellulitis of right upper limb,433
8208,Closed fracture of unspecified part of neck of femur,433
79431,Nonspecific abnormal electrocardiogram [ECG] [EKG],433
6259,Unspecified symptom associated with female genital organs,432
M25571,Pain in right ankle and joints of right foot,432
7100,Systemic lupus erythematosus,430
8248,"Unspecified fracture of ankle, closed",428
1985,Secondary malignant neoplasm of bone and bone marrow,427
N939,"Abnormal uterine and vaginal bleeding, unspecified",425
N132,Hydronephrosis with renal and ureteral calculous obstruction,425
I119,Hypertensive heart disease without heart failure,421
7243,Sciatica,419
9953,"Allergy, unspecified, not elsewhere classified",416
9221,Contusion of chest wall,415
2900,"Senile dementia, uncomplicated",415
92411,Contusion of knee,415
R9431,Abnormal electrocardiogram [ECG] [EKG],411
E9479,Unspecified drug or medicinal substance causing adverse effects in therapeutic use,411
M79672,Pain in left foot,410
M79671,Pain in right foot,410
8020,Closed fracture of nasal bones,409
I469,"Cardiac arrest, cause unspecified",405
78959,Other ascites,403
F10239,"Alcohol dependence with withdrawal, unspecified",403
V1254,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",402
V4581,Aortocoronary bypass status,401
S01511A,"Laceration without foreign body of lip, initial encounter",399
L03114,Cellulitis of left upper limb,396
71947,"Pain in joint, ankle and foot",395
5363,Gastroparesis,395
Z940,Kidney transplant status,394
4275,Cardiac arrest,394
8054,Closed fracture of lumbar vertebra without mention of spinal cord injury,393
R627,Adult failure to thrive,392
M25572,Pain in left ankle and joints of left foot,391
6820,Cellulitis and abscess of face,389
D72829,"Elevated white blood cell count, unspecified",389
O26893,"Other specified pregnancy related conditions, third trimester",388
6202,Other and unspecified ovarian cyst,385
S060X0A,"Concussion without loss of consciousness, initial encounter",384
Y833,"Surgical operation with formation of external stoma as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",382
7881,Dysuria,382
1579,"Malignant neoplasm of pancreas, part unspecified",381
V1255,Personal history of pulmonary embolism,381
E9288,Other accidents,381
S066X0A,"Traumatic subarachnoid hemorrhage without loss of consciousness, initial encounter",381
V5832,Encounter for removal of sutures,381
5771,Chronic pancreatitis,380
V1011,Personal history of malignant neoplasm of bronchus and lung,379
29690,Unspecified episodic mood disorder,377
28800,"Neutropenia, unspecified",377
4359,Unspecified transient cerebral ischemia,373
V0310XA,"Pedestrian on foot injured in collision with car, pick-up truck or van in traffic accident, initial encounter",372
R1033,Periumbilical pain,372
V4501,Cardiac pacemaker in situ,371
51881,Acute respiratory failure,371
W208XXA,"Other cause of strike by thrown, projected or falling object, initial encounter",370
R042,Hemoptysis,369
E918,Caught accidentally in or between objects,368
85220,"Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",367
S93402A,"Sprain of unspecified ligament of left ankle, initial encounter",367
99811,Hemorrhage complicating a procedure,365
G459,"Transient cerebral ischemic attack, unspecified",365
R791,Abnormal coagulation profile,364
7197,Difficulty in walking,364
J09X2,Influenza due to identified novel influenza A virus with other respiratory manifestations,364
37230,"Conjunctivitis, unspecified",364
E915,Foreign body accidentally entering other orifice,361
3079,"Other and unspecified special symptoms or syndromes, not elsewhere classified",359
F1010,"Alcohol abuse, uncomplicated",358
W458XXA,"Other foreign body or object entering through skin, initial encounter",355
W25XXXA,"Contact with sharp glass, initial encounter",354
N938,Other specified abnormal uterine and vaginal bleeding,352
V1251,Personal history of venous thrombosis and embolism,351
3310,Alzheimer's disease,350
78652,Painful respiration,350
S022XXA,"Fracture of nasal bones, initial encounter for closed fracture",350
S2242XA,"Multiple fractures of ribs, left side, initial encounter for closed fracture",349
S2241XA,"Multiple fractures of ribs, right side, initial encounter for closed fracture",346
T7840XA,"Allergy, unspecified, initial encounter",345
E8798,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",343
K6289,Other specified diseases of anus and rectum,342
I200,Unstable angina,341
V1046,Personal history of malignant neoplasm of prostate,339
78459,Other speech disturbance,339
4660,Acute bronchitis,338
M79605,Pain in left leg,337
J45909,"Unspecified asthma, uncomplicated",336
7824,"Jaundice, unspecified, not of newborn",334
K8020,Calculus of gallbladder without cholecystitis without obstruction,334
4321,Subdural hemorrhage,333
49390,"Asthma, unspecified type, unspecified",328
G8918,Other acute postprocedural pain,328
W1849XA,"Other slipping, tripping and stumbling without falling, initial encounter",327
I129,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",327
2875,"Thrombocytopenia, unspecified",327
28860,"Leukocytosis, unspecified",326
S61211A,"Laceration without foreign body of left index finger without damage to nail, initial encounter",325
E11649,Type 2 diabetes mellitus with hypoglycemia without coma,324
8052,Closed fracture of dorsal [thoracic] vertebra without mention of spinal cord injury,321
R220,"Localized swelling, mass and lump, head",321
E1122,Type 2 diabetes mellitus with diabetic chronic kidney disease,320
7880,Renal colic,319
9130,"Abrasion or friction burn of elbow, forearm, and wrist, without mention of infection",318
6824,"Cellulitis and abscess of hand, except fingers and thumb",317
R188,Other ascites,316
K047,Periapical abscess without sinus,316
E1010,Type 1 diabetes mellitus with ketoacidosis without coma,315
29590,"Unspecified schizophrenia, unspecified",314
V433,Heart valve replaced by other means,313
V433,"Unspecified car occupant injured in collision with car, pick-up truck or van in nontraffic accident",313
E916,Struck accidentally by falling object,311
70715,Ulcer of other part of foot,310
Y042XXA,"Assault by strike against or bumped into by another person, initial encounter",309
R17,Unspecified jaundice,308
K56699,Other intestinal obstruction unspecified as to partial versus complete obstruction,307
7841,Throat pain,307
R440,Auditory hallucinations,305
I629,"Nontraumatic intracranial hemorrhage, unspecified",305
Z86711,Personal history of pulmonary embolism,304
F209,"Schizophrenia, unspecified",304
7801,Hallucinations,304
2762,Acidosis,303
K0889,Other specified disorders of teeth and supporting structures,302
K921,Melena,302
D696,"Thrombocytopenia, unspecified",301
R1310,"Dysphagia, unspecified",301
I471,Supraventricular tachycardia,300
K5090,"Crohn's disease, unspecified, without complications",299
K920,Hematemesis,298
E872,Acidosis,298
88100,"Open wound of forearm, without mention of complication",296
1977,"Malignant neoplasm of liver, secondary",296
0539,Herpes zoster without mention of complication,296
R740,Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH],295
78905,"Abdominal pain, periumbilic",295
53081,Esophageal reflux,295
5859,"Chronic kidney disease, unspecified",291
W06XXXA,"Fall from bed, initial encounter",291
V4940XA,"Driver injured in collision with unspecified motor vehicles in traffic accident, initial encounter",289
X501XXA,"Overexertion from prolonged static or awkward postures, initial encounter",289
6869,Unspecified local infection of skin and subcutaneous tissue,288
T401X1A,"Poisoning by heroin, accidental (unintentional), initial encounter",287
80701,Closed fracture of one rib,287
W540XXA,"Bitten by dog, initial encounter",286
591,Hydronephrosis,285
V1585,Personal history of contact with and (suspected) exposure to potentially hazardous body fluids,285
5780,Hematemesis,285
9593,"Elbow, forearm, and wrist injury",284
7837,Adult failure to thrive,284
M79604,Pain in right leg,283
E8801,Alpha-1-antitrypsin deficiency,283
E8801,Accidental fall on or from sidewalk curb,283
F22,Delusional disorders,281
9248,"Contusion of multiple sites, not elsewhere classified",280
K7290,"Hepatic failure, unspecified without coma",279
V5831,Encounter for change or removal of surgical wound dressing,278
30560,"Cocaine abuse, unspecified",278
7810,Abnormal involuntary movements,277
K9423,Gastrostomy malfunction,276
D62,Acute posthemorrhagic anemia,275
Z7902,Long term (current) use of antithrombotics/antiplatelets,275
8449,Sprains and strains of unspecified site of knee and leg,274
9592,Shoulder and upper arm injury,274
78194,Facial weakness,274
N201,Calculus of ureter,273
Y048XXA,"Assault by other bodily force, initial encounter",273
V427,Liver replaced by transplant,272
V427,Person on outside of car injured in collision with two- or three-wheeled motor vehicle in traffic accident,272
R6521,Severe sepsis with septic shock,272
99673,"Other complications due to renal dialysis device, implant, and graft",271
S01112A,"Laceration without foreign body of left eyelid and periocular area, initial encounter",270
6929,"Contact dermatitis and other eczema, unspecified cause",270
41071,"Subendocardial infarction, initial episode of care",269
8028,Closed fracture of other facial bones,268
99592,Severe sepsis,267
3829,Unspecified otitis media,267
5750,Acute cholecystitis,266
R5081,Fever presenting with conditions classified elsewhere,265
E8122,Other motor vehicle traffic accident involving collision with motor vehicle injuring motorcyclist,264
K56609,"Unspecified intestinal obstruction, unspecified as to partial versus complete obstruction",263
99889,Other specified complications of procedures not elsewhere classified,263
K830,Cholangitis,262
87341,"Open wound of cheek, without mention of complication",262
45340,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity,261
5722,Hepatic encephalopathy,261
W230XXA,"Caught, crushed, jammed, or pinched between moving objects, initial encounter",260
9181,Superficial injury of cornea,258
30550,"Opioid abuse, unspecified",258
M25531,Pain in right wrist,258
T82868A,"Thrombosis due to vascular prosthetic devices, implants and grafts, initial encounter",258
K8050,Calculus of bile duct without cholangitis or cholecystitis without obstruction,257
8500,Concussion with no loss of consciousness,257
25061,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled",255
K5289,Other specified noninfective gastroenteritis and colitis,255
29640,"Bipolar I disorder, most recent episode (or current) manic, unspecified",255
I609,"Nontraumatic subarachnoid hemorrhage, unspecified",255
T781XXA,"Other adverse food reactions, not elsewhere classified, initial encounter",254
1970,Secondary malignant neoplasm of lung,254
R072,Precordial pain,254
20300,"Multiple myeloma, without mention of having achieved remission",253
Z0441,Encounter for examination and observation following alleged adult rape,252
G9389,Other specified disorders of brain,252
W01198A,"Fall on same level from slipping, tripping and stumbling with subsequent striking against other object, initial encounter",248
V681,Issue of repeat prescriptions,248
V681,Passenger in heavy transport vehicle injured in noncollision transport accident in nontraffic accident,248
5761,Cholangitis,248
W500XXA,"Accidental hit or strike by another person, initial encounter",247
E10649,Type 1 diabetes mellitus with hypoglycemia without coma,247
W11XXXA,"Fall on and from ladder, initial encounter",246
25011,"Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled",246
F1110,"Opioid abuse, uncomplicated",246
S8002XA,"Contusion of left knee, initial encounter",246
S8001XA,"Contusion of right knee, initial encounter",245
7080,Allergic urticaria,244
29680,"Bipolar disorder, unspecified",243
R140,Abdominal distension (gaseous),242
E8783,"Surgical operation with formation of external stoma causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",242
42732,Atrial flutter,242
R7881,Bacteremia,241
6825,Cellulitis and abscess of buttock,241
33819,Other acute pain,241
82525,Closed fracture of metatarsal bone(s),240
V1005,Personal history of malignant neoplasm of large intestine,240
L500,Allergic urticaria,239
99674,"Other complications due to other vascular device, implant, and graft",239
H539,Unspecified visual disturbance,239
V045,Need for prophylactic vaccination and inoculation against rabies,239
R0781,Pleurodynia,239
33818,Other acute postoperative pain,238
E9060,Dog bite,238
7904,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH],237
7873,"Flatulence, eructation, and gas pain",236
V4364,Car passenger injured in collision with van in traffic accident,235
V715,Driver of bus injured in collision with pedal cycle in traffic accident,235
V715,Observation following alleged rape or seduction,235
V4364,Hip joint replacement,235
7812,Abnormality of gait,234
R1084,Generalized abdominal pain,234
K810,Acute cholecystitis,234
72885,Spasm of muscle,234
5781,Blood in stool,232
37991,Pain in or around eye,232
L089,"Local infection of the skin and subcutaneous tissue, unspecified",232
E0064,Activities involving bike riding,231
56942,Anal or rectal pain,231
82021,Closed fracture of intertrochanteric section of neck of femur,231
J020,Streptococcal pharyngitis,231
S61412A,"Laceration without foreign body of left hand, initial encounter",230
E9342,Anticoagulants causing adverse effects in therapeutic use,229
92410,Contusion of lower leg,229
38870,"Otalgia, unspecified",227
K3184,Gastroparesis,225
Y848,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",225
85200,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",224
Z98890,Other specified postprocedural states,224
K859,"Acute pancreatitis, unspecified",224
78499,Other symptoms involving head and neck,224
E8136,Motor vehicle traffic accident involving collision with other vehicle injuring pedal cyclist,223
M79602,Pain in left arm,223
20280,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites",223
I213,ST elevation (STEMI) myocardial infarction of unspecified site,223
7907,Bacteremia,221
S61012A,"Laceration without foreign body of left thumb without damage to nail, initial encounter",221
L03011,Cellulitis of right finger,221
S01111A,"Laceration without foreign body of right eyelid and periocular area, initial encounter",220
